Famille;Nom;Energie (kcal/100g);Protéines (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Eau (g/100g);;Portion (g) ;Energie (kcal/portion);Protéines (g/portion);Glucides (g/portion);Lipides (g/portion);Eau (g/portion)
Fromages blancs ultrafrais;Petit suisse à la crème, nature;139;9,5;3,6;9,5;3,6;75,2;;70;97,3;6,65;2,52;6,65;52,64
Fromages blancs ultrafrais;Petit suisse au lait entier, nature;134;9,75;3,37;8,86;3,2;76,6;;70;93,8;6,825;2,359;6,202;53,62
Fromages blancs ultrafrais;Spécialité laitière de fromage blanc, avec crème, aux fruits, sucrée;133;4,35;14,2;6,28;14,1;73,8;;70;93,1;3,045;9,94;4,396;51,66
Fromages blancs ultrafrais;Spécialité laitière de fromage blanc, avec crème, nature;134;5,7;4,3;10,3;4,1;79,8;;70;93,8;3,99;3,01;7,21;55,86
Fromages fondus;Cancoillotte (spécialité fromagère fondue);127;15;1;6,2;1;74,4;;70;88,9;10,5;0,7;4,34;52,08
Fromages fondus;Fromage fondu en portions ou en cubes environ 15% MG;184;13,1;15,7;7,24;0;65,8;;70;128,8;9,17;10,99;5,068;46,06
Fromages fondus;Fromage fondu en portions ou en cubes environ 22% MG;276;10,2;6,5;22,5;6,5;54,7;;70;193,2;7,14;4,55;15,75;38,29
Fromages fondus;Snack pour enfants à base de fromage fondu et de gressins;319;10,7;24,1;18,9;3,1;42,6;;70;223,3;7,49;16,87;13,23;29,82
Fromages fondus;Spécialité fromagère fondante au fromage blanc et aux noix;352;11,2;2,7;32;2,67;51,5;;70;246,4;7,84;1,89;22,4;36,05
Fromages non affinés et spécialités fromagères;Feta de brebis;272;15,5;1,4;22,4;1,4;55,4;;70;190,4;10,85;0,98;15,68;38,78
Fromages non affinés et spécialités fromagères;Fromage de chèvre à tartiner, nature;165;10,6;2,75;12,4;2,75;71;;70;115,5;7,42;1,925;8,68;49,7
Fromages non affinés et spécialités fromagères;Fromage de chèvre frais, au lait cru (type palet ou crottin frais);211;13,1;1,83;16,9;1,83;65,6;;70;147,7;9,17;1,281;11,83;45,92
Fromages non affinés et spécialités fromagères;Fromage de chèvre frais, au lait pasteurisé (type bûchette fraîche);250;16,1;2,05;19,9;2,05;61,4;;70;175;11,27;1,435;13,93;42,98
Fromages non affinés et spécialités fromagères;Fromage de chèvre frais, au lait pasteurisé ou cru (type crottin frais ou bûchette fraîche);222;13,8;2,3;17,2;1,5;68,8;;70;155,4;9,66;1,61;12,04;48,16
Fromages non affinés et spécialités fromagères;Fromage type Feta, au lait de vache;264;17,1;1,18;20,9;1,18;55;;70;184,8;11,97;0,826;14,63;38,5
Fromages non affinés et spécialités fromagères;Mozzarella;259;19,9;0,4;19,4;0,4;58,3;;70;181,3;13,93;0,28;13,58;40,81
Fromages non affinés et spécialités fromagères;Ricotta;160;11,5;3,75;10,5;3,75;72,7;;70;112;8,05;2,625;7,35;50,89
Fruits frais;Abricot, frais;49,1;0,9;9,01;0,207;8,02;86,1;;120;58,92;1,08;10,812;0,2484;103,32
Fruits frais;Ananas, frais, pulpe;52,6;0,4;11;0,2;9,24;85,8;;120;63,12;0,48;13,2;0,24;102,96
Fruits frais;Banane, fraîche, pulpe;93,6;1,2;20,5;0,227;15,9;74,7;;120;112,32;1,44;24,6;0,2724;89,64
Fruits frais;Carambole, frais, pulpe;27,3;0,78;2,91;0,343;2,91;91,4;;120;32,76;0,936;3,492;0,4116;109,68
Fruits frais;Cassis, frais;73,2;0,9;10,4;0,5;6,6;77,4;;120;87,84;1,08;12,48;0,6;92,88
Fruits frais;Cerise, fraîche;70,8;1,3;14,2;0,3;12,4;81,2;;120;84,96;1,56;17,04;0,36;97,44
Fruits frais;Citron vert ou Lime, frais, pulpe;36,2;0,7;2,82;0,2;1,69;88,3;;120;43,44;0,84;3,384;0,24;105,96
Fruits frais;Citron, frais, pulpe;34,3;0,8;2,45;0,3;2,2;89,2;;120;41,16;0,96;2,94;0,36;107,04
Fruits frais;Citron, zeste;50,6;1,5;2,49;0,3;2,49;81,6;;120;60,72;1,8;2,988;0,36;97,92
Fruits frais;Clémentine ou Mandarine, fraîche, pulpe;48,5;0,8;9,19;0,19;9,19;86,6;;120;58,2;0,96;11,028;0,228;103,92
Fruits frais;Coing, frais;57,7;0,367;11,2;0,4;6,3;84;;120;69,24;0,4404;13,44;0,48;100,8
Fruits frais;Coulis de fruits rouges (framboises, fraises, groseilles, cassis);90,1;0,94;17,5;0,475;17,4;75;;120;108,12;1,128;21;0,57;90
Fruits frais;Figue de Barbarie, pulpe et graines;54,7;0,75;10,1;0,3;10,1;83;;120;65,64;0,9;12,12;0,36;99,6
Fruits frais;Figue, fraîche;66,8;1,3;13,4;0,3;12,3;81,8;;120;80,16;1,56;16,08;0,36;98,16
Fruits frais;Fraise, fraîche;28,5;0,75;4,06;0,26;4,05;91,6;;120;34,2;0,9;4,872;0,312;109,92
Fruits frais;Framboise, fraîche;45,1;1,4;4,25;0,3;4,25;84,7;;120;54,12;1,68;5,1;0,36;101,64
Fruits frais;Fruit de la passion, frais, pulpe et pépins;84,3;2,2;9,48;0,7;9,48;72,9;;120;101,16;2,64;11,376;0,84;87,48
Fruits frais;Fruits rouges, frais (framboises, fraises, groseilles, cassis);46,8;1,11;5,3;0,626;5,23;85,7;;120;56,16;1,332;6,36;0,7512;102,84
Fruits frais;Grenade, fraîche, pulpe et pépins;71,1;1,06;13,6;0,557;13,6;81;;120;85,32;1,272;16,32;0,6684;97,2
Fruits frais;Groseille à maquereau, fraîche;40,3;0,893;4,83;0,593;0;87,9;;120;48,36;1,0716;5,796;0,7116;105,48
Fruits frais;Groseille, fraîche;55,4;1,1;6,14;0,5;5,39;82,4;;120;66,48;1,32;7,368;0,6;98,88
Fruits frais;Kaki, frais, pulpe;67,7;0,627;13,7;0,263;13,7;81;;120;81,24;0,7524;16,44;0,3156;97,2
Fruits frais;Kiwi, frais, pulpe et graines;57,7;1,1;9,37;0,725;9,1;84,1;;120;69,24;1,32;11,244;0,87;100,92
Fruits frais;Litchi, frais, pulpe;69,4;0,815;14;0,42;14;81,8;;120;83,28;0,978;16,8;0,504;98,16
Fruits frais;Mangue, fraîche, pulpe;63,5;0,7;13,6;0,2;13,1;83,1;;120;76,2;0,84;16,32;0,24;99,72
Fruits frais;Melon, frais, pulpe;32,1;0,71;6,49;0,148;5,94;91,1;;120;38,52;0,852;7,788;0,1776;109,32
Fruits frais;Mirabelle, fraîche;61,8;0,72;12,4;0,2;0;82,7;;120;74,16;0,864;14,88;0,24;99,24
Fruits frais;Mûre (de ronce), fraîche;45,4;0,9;6,02;0,2;5,1;85;;120;54,48;1,08;7,224;0,24;102
Fruits frais;Mûre noire (du mûrier), fraîche;49,4;1,37;9,7;0,195;8,1;86,3;;120;59,28;1,644;11,64;0,234;103,56
Fruits frais;Myrtille, fraîche;60,2;0,647;11,6;0,243;7,92;83,4;;120;72,24;0,7764;13,92;0,2916;100,08
Fruits frais;Nectarine, fraîche, pulpe et peau;42,6;1,4;7,69;0,1;7,62;87,8;;120;51,12;1,68;9,228;0,12;105,36
Fruits frais;Nèfle du Japon, fraîche, pulpe;55,7;0,41;12;0,267;6,1;85;;120;66,84;0,492;14,4;0,3204;102
Fruits frais;Orange, fraîche, pulpe;46,5;0,957;8,32;0,26;8,32;87,1;;120;55,8;1,1484;9,984;0,312;104,52
Fruits frais;Papaye, fraîche, pulpe;43,3;0,557;7,81;0,22;7,81;87,7;;120;51,96;0,6684;9,372;0,264;105,24
Fruits frais;Pastèque, fraîche, pulpe;34;0,603;7,28;0,0833;6,29;91,1;;120;40,8;0,7236;8,736;0,09996;109,32
Fruits frais;Pêche, fraîche, pulpe;54,2;0,7;11,3;0,25;11,3;88;;120;65,04;0,84;13,56;0,3;105,6
Fruits frais;Pêche, fraîche, pulpe et peau;53,4;0,903;10,2;0,25;8,74;85,1;;120;64,08;1,0836;12,24;0,3;102,12
Fruits frais;Poire, fraîche, pulpe et peau;53;0,385;10,8;0,22;10,4;85,1;;120;63,6;0,462;12,96;0,264;102,12
Fruits frais;Pomélo (dit Pamplemousse), frais, pulpe;35,9;0,8;6,2;0,1;6,2;89,8;;120;43,08;0,96;7,44;0,12;107,76
Fruits frais;Pomme, fraîche, pulpe et peau;53,2;0,31;11,3;0,162;11,3;85,3;;120;63,84;0,372;13,56;0,1944;102,36
Fruits frais;Prune Reine0Claude, fraîche;48,7;0,8;9,6;0,28;9,6;81,9;;120;58,44;0,96;11,52;0,336;98,28
Fruits frais;Raisin blanc, frais;70;0,6;16,1;0,16;16,1;82,2;;120;84;0,72;19,32;0,192;98,64
Fruits frais;Raisin noir, frais;62,1;0,5;12,1;0,25;12,2;83,2;;120;74,52;0,6;14,52;0,3;99,84
Fruits frais;Salade de fruits frais;83,5;0,73;18,3;0,33;17,1;78;;120;100,2;0,876;21,96;0,396;93,6
Gâteaux et pâtisseries;Baba au rhum;234;3,2;29,9;8,76;18,5;53,9;;100;234;3,2;29,9;8,76;53,9
Gâteaux et pâtisseries;Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop);461;10,4;49,5;24,5;39,6;13,5;;100;461;10,4;49,5;24,5;13,5
Gâteaux et pâtisseries;Biscuit de Savoie;311;5,9;68,3;0,8;0;19,2;;100;311;5,9;68,3;0,8;19,2
Gâteaux et pâtisseries;Brownie au chocolat;471;4,69;54,4;25,5;35,7;11,5;;100;471;4,69;54,4;25,5;11,5
Gâteaux et pâtisseries;Bûche de Noël pâtissière;320;4,2;30,7;19,7;20;43,4;;100;320;4,2;30,7;19,7;43,4
Gâteaux et pâtisseries;Cake aux fruits;392;5;55,7;15,3;40,1;19,5;;100;392;5;55,7;15,3;19,5
Gâteaux et pâtisseries;Canelé;302;4,4;62,7;3,24;42,5;26,3;;100;302;4,4;62,7;3,24;26,3
Gâteaux et pâtisseries;Charlotte aux fruits;203;5,2;29,1;6,64;21,7;55,7;;100;203;5,2;29,1;6,64;55,7
Gâteaux et pâtisseries;Chou à la crème (chantilly ou pâtissière);301;4,45;32,2;16,8;24,8;44,3;;100;301;4,45;32,2;16,8;44,3
Gâteaux et pâtisseries;Chou à la crème chantilly;350;4,6;22,9;26,4;16;44,3;;100;350;4,6;22,9;26,4;44,3
Gâteaux et pâtisseries;Chou à la crème pâtissière;224;4,3;34,9;7,3;26,8;51,7;;100;224;4,3;34,9;7,3;51,7
Gâteaux et pâtisseries;Corne de gazelle (pâtisserie orientale aux amandes et sirop);471;8,55;59,3;22,1;32;8,22;;100;471;8,55;59,3;22,1;8,22
Gâteaux et pâtisseries;Crêpe au froment pré0emballée, nature;321;6,45;57,2;7,02;6;25,5;;100;321;6,45;57,2;7,02;25,5
Gâteaux et pâtisseries;Crêpe au froment, fourrée à la confiture;297;6,52;54,3;5,74;19,4;30,6;;100;297;6,52;54,3;5,74;30,6
Gâteaux et pâtisseries;Crêpe au froment, fourrée au chocolat ou à la pâte à tartiner chocolat et noisettes;375;8,15;57,8;11,8;20,4;17,8;;100;375;8,15;57,8;11,8;17,8
Gâteaux et pâtisseries;Crêpe au froment, sucrée;351;6,33;67,7;5,85;28,4;16,2;;100;351;6,33;67,7;5,85;16,2
Gâteaux et pâtisseries;Crêpe ou galette bretonne au sarrasin;161;5,83;30,2;1,74;7,2;59;;100;161;5,83;30,2;1,74;59
Gâteaux et pâtisseries;Crumble aux pommes;242;2,7;35,9;8,98;23,7;48,7;;100;242;2,7;35,9;8,98;48,7
Gâteaux et pâtisseries;Éclair;302;4,66;38,4;14;13,7;40,2;;100;302;4,66;38,4;14;40,2
Gâteaux et pâtisseries;Far aux pruneaux;392;5,5;50,4;18,5;26;23,3;;100;392;5,5;50,4;18,5;23,3
Gâteaux et pâtisseries;Flan pâtissier aux oeufs ou à la parisienne;200;3,82;30,4;7;10,3;58;;100;200;3,82;30,4;7;58
Gâteaux et pâtisseries;Fraisier ou framboisier;262;3,3;26,7;15,5;23,4;52,6;;100;262;3,3;26,7;15,5;52,6
Gâteaux et pâtisseries;Galette des rois feuilletée, fourrée frangipane;456;8,8;35,7;30,4;26,4;21,9;;100;456;8,8;35,7;30,4;21,9
Gâteaux et pâtisseries;Gâteau au chocolat;403;6,04;44,6;21,8;25,5;24,3;;100;403;6,04;44,6;21,8;24,3
Gâteaux et pâtisseries;Gâteau au fromage blanc;220;8,4;34,3;5,3;17,6;50,6;;100;220;8,4;34,3;5,3;50,6
Gâteaux et pâtisseries;Gâteau au fromage frais ou Cheese0cake;350;5,16;31,1;22,5;24,4;39,2;;100;350;5,16;31,1;22,5;39,2
Gâteaux et pâtisseries;Gâteau mi0cuit au chocolat ou Moelleux au chocolat;459;6,58;45,5;27,5;38,5;17,7;;100;459;6,58;45,5;27,5;17,7
Gâteaux et pâtisseries;Gâteau moelleux fourré au chocolat multicouche;429;5,46;52,4;21,8;35;17,7;;100;429;5,46;52,4;21,8;17,7
Gâteaux et pâtisseries;Gâteau moelleux fourré au chocolat ou aux pépites de chocolat ou au lait;425;5,3;54,7;20,4;37,2;17;;100;425;5,3;54,7;20,4;17
Gâteaux et pâtisseries;Gâteau moelleux fourré aux fruits type mini0roulé ou mini0cake fourré;391;4,79;65,5;11,5;25;14,4;;100;391;4,79;65,5;11,5;14,4
Gâteaux et pâtisseries;Gâteau mousse de fruits sur génoise, type miroir;270;3,87;34,3;13;25,9;48,4;;100;270;3,87;34,3;13;48,4
Gâteaux et pâtisseries;Gaufre bruxelloise ou liégeoise, avec ou sans chocolat, préemballée;445;7,19;58,1;20;38,7;11,7;;100;445;7,19;58,1;20;11,7
Gâteaux et pâtisseries;Macaron moelleux fourré à la confiture ou à la crème;436;8,55;58,7;17,9;44,5;10,9;;100;436;8,55;58,7;17,9;10,9
Gâteaux et pâtisseries;Madeleine;447;6,7;54,2;22,2;19,2;14;;100;447;6,7;54,2;22,2;14
Gâteaux et pâtisseries;Mille0feuille;293;4,2;39,4;13,1;26,4;42,4;;100;293;4,2;39,4;13,1;42,4
Gâteaux et pâtisseries;Pain d'épices;326;2,98;71,7;2,39;44,9;19,4;;100;326;2,98;71,7;2,39;19,4
Gâteaux et pâtisseries;Quatre0quarts ou barre pâtissière, préemballé;433;5,73;48;23,7;27,5;18,4;;100;433;5,73;48;23,7;18,4
Gâteaux et pâtisseries;Rocher coco ou Congolais (petit gâteau à la noix de coco);486;5,45;45,6;29,6;38,2;10,8;;100;486;5,45;45,6;29,6;10,8
Gâteaux et pâtisseries;Tarte à la crème;291;5,9;29;16,8;5,7;48;;100;291;5,9;29;16,8;48
Gâteaux et pâtisseries;Tarte au citron;382;5;42,7;20,9;40,9;29,1;;100;382;5;42,7;20,9;29,1
Gâteaux et pâtisseries;Tarte aux abricots;237;3,18;29;10,7;0;50,5;;100;237;3,18;29;10,7;50,5
Gâteaux et pâtisseries;Tarte aux fraises;236;3,2;31,1;10,7;25,4;53;;100;236;3,2;31,1;10,7;53
Gâteaux et pâtisseries;Tarte aux fruits rouges;227;3,5;35,5;6,87;21,7;49,1;;100;227;3,5;35,5;6,87;49,1
Gâteaux et pâtisseries;Tarte ou tartelette aux fruits;278;3,6;37;12,5;8,58;45;;100;278;3,6;37;12,5;45
Gâteaux et pâtisseries;Tarte ou tartelette aux pommes;281;3,5;37,6;11,6;14,8;40,2;;100;281;3,5;37,6;11,6;40,2
Jus et nectars;Abricot, nectar;57,6;0,41;12,9;0,085;12,9;84,9;;200;115,2;0,82;25,8;0,17;169,8
Jus et nectars;Ananas, jus à base de concentré;47,8;0,352;10,6;0,1;10,6;88,3;;200;95,6;0,704;21,2;0,2;176,6
Jus et nectars;Ananas, pur jus;48,5;0,3;11,6;0,1;11,6;86,3;;200;97;0,6;23,2;0,2;172,6
Jus et nectars;Carotte, pur jus;26,6;0,817;5,09;0,1;5,08;92,3;;200;53,2;1,634;10,18;0,2;184,6
Jus et nectars;Citron vert, pur jus;24,2;0,25;1,49;0,23;1,37;92,5;;200;48,4;0,5;2,98;0,46;185
Jus et nectars;Citron, jus pressé maison;27,6;0,317;2,75;0,08;1,96;91,7;;200;55,2;0,634;5,5;0,16;183,4
Jus et nectars;Clémentine/mandarine, pur jus;51,4;0,61;11,7;0,125;11,7;88;;200;102,8;1,22;23,4;0,25;176
Jus et nectars;Fruit de la passion ou Maracuja, nectar;48,8;0,2;10,2;0,1;0;87;;200;97,6;0,4;20,4;0,2;174
Jus et nectars;Jus multifruit 0 base orange, multivitaminé;46,9;0,49;10,2;0,1;10,2;87,4;;200;93,8;0,98;20,4;0,2;174,8
Jus et nectars;Jus multifruit 0 base orange, standard;42,2;0,7;9;0,1;9,05;88,6;;200;84,4;1,4;18;0,2;177,2
Jus et nectars;Jus multifruit 0 base pomme, multivitaminé;45,4;0,332;10,1;0,4;10,2;88,2;;200;90,8;0,664;20,2;0,8;176,4
Jus et nectars;Jus multifruit 0 base pomme, standard;47,4;0,332;10,6;0,4;10,1;87,8;;200;94,8;0,664;21,2;0,8;175,6
Jus et nectars;Jus multifruit, à base de concentré;47,9;0,44;10,7;0,1;10,7;87,8;;200;95,8;0,88;21,4;0,2;175,6
Jus et nectars;Jus multifruit, pur jus, multivitaminé;46,5;0,4;10,6;0,1;10,4;87,7;;200;93;0,8;21,2;0,2;175,4
Jus et nectars;Jus multifruit, pur jus, standard;50,7;0,44;11,6;0,1;11,6;87;;200;101,4;0,88;23,2;0,2;174
Jus et nectars;Mangue, jus frais;40,6;0,2;9,5;0,2;9,3;86;;200;81,2;0,4;19;0,4;172
Jus et nectars;Mangue, nectar;61,7;0,2;14,4;0,2;0;84,3;;200;123,4;0,4;28,8;0,4;168,6
Jus et nectars;Nectar multifruit 0 base orange, multivitaminé;44,9;0,4;10,3;0,1;10,2;88,1;;200;89,8;0,8;20,6;0,2;176,2
Jus et nectars;Nectar multifruit 0 base orange, standard;48,1;0,4;11;0,1;10,6;87,4;;200;96,2;0,8;22;0,2;174,8
Jus et nectars;Nectar multifruit 0 base pomme, multivitaminé;44,6;0,1;9,95;0,4;9,1;88,7;;200;89,2;0,2;19,9;0,8;177,4
Jus et nectars;Nectar multifruit 0 base pomme, standard;44;0,28;9,62;0,4;9,62;88,7;;200;88;0,56;19,24;0,8;177,4
Jus et nectars;Nectar multifruit, multivitaminé;46;0,29;10,5;0,1;10,4;87,9;;200;92;0,58;21;0,2;175,8
Jus et nectars;Nectar multifruit, standard;55,2;0,272;12,9;0,09;9,45;85,9;;200;110,4;0,544;25,8;0,18;171,8
Jus et nectars;"Noix de coco, ""lait""";192;2,02;6,33;17,6;1,8;72,9;;200;384;4,04;12,66;35,2;145,8
Jus et nectars;Noix de coco, eau;19,8;0,51;3,91;0,2;2,61;95;;200;39,6;1,02;7,82;0,4;190
Jus et nectars;Orange, jus à base de concentré;42,4;0,71;8,85;0,25;8,21;88,7;;200;84,8;1,42;17,7;0,5;177,4
Jus et nectars;Orange, jus pressé maison;43,5;0,633;9,3;0,133;8,23;88,6;;200;87;1,266;18,6;0,266;177,2
Jus et nectars;Orange, nectar;38,8;0,35;8,39;0,1;8,08;89,6;;200;77,6;0,7;16,78;0,2;179,2
Jus et nectars;Orange, pur jus;43,7;0,708;9,39;0,0954;8,69;88,2;;200;87,4;1,416;18,78;0,1908;176,4
Jus et nectars;Pamplemousse (pomélo), jus à base de concentré;36,7;0,507;7,59;0,1;7,62;89,9;;200;73,4;1,014;15,18;0,2;179,8
Jus et nectars;Pamplemousse (pomélo), jus frais;38,4;0,4;8,04;0,05;8,04;89,9;;200;76,8;0,8;16,08;0,1;179,8
Jus et nectars;Pamplemousse (pomélo), pur jus;37,5;0,62;8,5;0,1;8,5;88,9;;200;75;1,24;17;0,2;177,8
Jus et nectars;Poire, nectar;62,5;0,137;14,8;0,0367;14,8;83,9;;200;125;0,274;29,6;0,0734;167,8
Jus et nectars;Pomme, jus à base de concentré;42,6;0,07;9,96;0,23;9,65;89;;200;85,2;0,14;19,92;0,46;178
Jus et nectars;Pomme, nectar;39;0,1;8,7;0,4;8,7;90,2;;200;78;0,2;17,4;0,8;180,4
Jus et nectars;Pomme, pur jus;42,4;0,1;9,95;0,1;9,67;88,4;;200;84,8;0,2;19,9;0,2;176,8
Jus et nectars;Raisin, pur jus;68,1;0,18;16,1;0,1;15,5;82,6;;200;136,2;0,36;32,2;0,2;165,2
Jus et nectars;Tomate, pur jus;20,8;0,73;3,86;0,0333;3,51;93,5;;200;41,6;1,46;7,72;0,0666;187
Laits;Boisson lactée aromatisée à la fraise, au lait partiellement écrémé;52,2;2,2;9,82;0,475;9,82;86,9;;150;78,3;3,3;14,73;0,7125;130,35
Laits;Boisson lactée aromatisée au chocolat, au lait partiellement écrémé, enrichie et/ou restaurée en vitamines et/ou minéraux;68,1;3,6;10,8;1,07;9,55;83,3;;150;102,15;5,4;16,2;1,605;124,95
Laits;Lait concentré non sucré, entier;199;7,35;25,6;7,53;10;58,1;;150;298,5;11,025;38,4;11,295;87,15
Laits;Lait concentré sucré, entier;330;7,7;55,9;8,47;55,9;26,2;;150;495;11,55;83,85;12,705;39,3
Laits;Lait de brebis, entier;97,6;5;5,27;6,33;5,2;82,5;;150;146,4;7,5;7,905;9,495;123,75
Laits;Lait de chèvre, demi0écrémé, UHT;55;3,27;4,25;2,8;0;88,8;;150;82,5;4,905;6,375;4,2;133,2
Laits;Lait de chèvre, entier, cru;57,6;3,22;4,01;3,2;4,01;88,7;;150;86,4;4,83;6,015;4,8;133,05
Laits;Lait de chèvre, entier, UHT;64,9;3,15;4,35;3,9;4,35;87,8;;150;97,35;4,725;6,525;5,85;131,7
Laits;Lait demi0écrémé, pasteurisé;45;3,3;4,56;1,54;0;89,8;;150;67,5;4,95;6,84;2,31;134,7
Laits;Lait demi0écrémé, UHT;46;3,3;4,83;1,53;4,6;89,6;;150;69;4,95;7,245;2,295;134,4
Laits;Lait écrémé, pasteurisé;33,4;3,4;4,68;0,15;4,68;91;;150;50,1;5,1;7,02;0,225;136,5
Laits;Lait écrémé, UHT;31,5;3,28;4,32;0,15;4,3;91;;150;47,25;4,92;6,48;0,225;136,5
Laits;Lait en poudre, demi0écrémé;421;29,1;43,9;14,6;43,9;3,7;;150;631,5;43,65;65,85;21,9;5,55
Laits;Lait en poudre, écrémé;354;35,8;51,8;0,749;51,8;3,74;;150;531;53,7;77,7;1,1235;5,61
Laits;Lait en poudre, entier;491;27,7;36,2;26,4;36,2;3,7;;150;736,5;41,55;54,3;39,6;5,55
Laits;Lait entier, pasteurisé;62,9;3,2;4,62;3,54;0;87,8;;150;94,35;4,8;6,93;5,31;131,7
Laits;Lait entier, UHT;64,6;3,2;4,67;3,71;0;87,7;;150;96,9;4,8;7,005;5,565;131,55
Laits;Lait partiellement écrémé, aromatisé, UHT;68,4;2,9;12,9;0,6;0;83,3;;150;102,6;4,35;19,35;0,9;124,95
Légumes;Artichaut, cru;44,4;2,8;4,92;0,2;1,44;85,2;;120;53,28;3,36;5,904;0,24;102,24
Légumes;Artichaut, cuit;43,1;2,9;4,84;0,227;0,99;85,8;;120;51,72;3,48;5,808;0,2724;102,96
Légumes;Asperge, appertisée, égouttée;23;3,4;0,95;0,5;0,95;93,6;;120;27,6;4,08;1,14;0,6;112,32
Légumes;Asperge, cuite;29,7;2,68;3,18;0,32;0,81;91,5;;120;35,64;3,216;3,816;0,384;109,8
Légumes;Aubergine, cuite;35,2;0,83;6,26;0,2;3,2;89,7;;120;42,24;0,996;7,512;0,24;107,64
Légumes;Avocat, frais, pulpe;169;1,8;3,13;16;1,03;74;;120;202,8;2,16;3,756;19,2;88,8
Légumes;Bette, cuite;20,6;1,88;2,03;0,08;1,1;92,6;;120;24,72;2,256;2,436;0,096;111,12
Légumes;Betterave rouge, cuite;43,4;2,3;7,17;0,1;6,68;87,2;;120;52,08;2,76;8,604;0,12;104,64
Légumes;Brocoli, cuit;28,7;2,1;2,82;0,51;1,39;91,9;;120;34,44;2,52;3,384;0,612;110,28
Légumes;Cardon, cru;21,3;0,6;3,69;0,1;1,5;92,9;;120;25,56;0,72;4,428;0,12;111,48
Légumes;Carotte, appertisée, égouttée;26,1;0,58;4,21;0,33;2,63;92,1;;120;31,32;0,696;5,052;0,396;110,52
Légumes;Carotte, crue;36,3;0,803;6,6;0,26;4,86;89,4;;120;43,56;0,9636;7,92;0,312;107,28
Légumes;Carotte, cuite;27,7;0,76;4,94;0,1;3,78;91,4;;120;33,24;0,912;5,928;0,12;109,68
Légumes;Céleri branche, appertisé;11,8;0,83;1,28;0,0867;0;95;;120;14,16;0,996;1,536;0,10404;114
Légumes;Céleri branche, cru;15,8;1,2;1,16;0,2;1,11;94,2;;120;18,96;1,44;1,392;0,24;113,04
Légumes;Céleri branche, cuit;13,2;0,83;1,62;0,0867;1,62;95,3;;120;15,84;0,996;1,944;0,10404;114,36
Légumes;Céleri0rave, cru;36,6;1,2;5,68;0,3;1,44;88,1;;120;43,92;1,44;6,816;0,36;105,72
Légumes;Céleri0rave, cuit;35;0,96;4,56;0,86;0,73;90,2;;120;42;1,152;5,472;1,032;108,24
Légumes;Champignon de Paris ou Champignon de couche, cru;25;1,8;2,73;0,43;0,2;92,9;;120;30;2,16;3,276;0,516;111,48
Légumes;Champignon de Paris ou Champignon de couche, sauté;59;2,4;0,33;4,27;0;87;;120;70,8;2,88;0,396;5,124;104,4
Légumes;Champignon de Paris, appertisé;21,7;2,4;0,977;0,394;0,2;93,1;;120;26,04;2,88;1,1724;0,4728;111,72
Légumes;Champignon, tout type, appertisé, égoutté;19,8;2,37;0,456;0,397;0,456;93;;120;23,76;2,844;0,5472;0,4764;111,6
Légumes;Champignon, tout type, cru;30,2;3,09;0,21;1,5;0,21;92,6;;120;36,24;3,708;0,252;1,8;111,12
Légumes;Chicorée frisée, crue;12,9;1,2;0,95;0,233;0,95;95,2;;120;15,48;1,44;1,14;0,2796;114,24
Légumes;Chou blanc, cru;29,2;1,25;4,75;0,2;0;91,5;;120;35,04;1,5;5,7;0,24;109,8
Légumes;Chou de Bruxelles, appertisé, égoutté;38,5;2,6;3,23;1;0;88,9;;120;46,2;3,12;3,876;1,2;106,68
Légumes;Chou de Bruxelles, cuit;41,2;2,55;6,69;0,11;1,74;87,7;;120;49,44;3,06;8,028;0,132;105,24
Légumes;Chou rouge, cru;32,8;1,61;4,99;0,2;3,26;90,2;;120;39,36;1,932;5,988;0,24;108,24
Légumes;Chou rouge, cuit à l'eau;22,5;0,8;2,93;0,3;2,93;92,6;;120;27;0,96;3,516;0,36;111,12
Légumes;Chou vert, cuit;20,3;1,36;3;0,45;2,5;94,7;;120;24,36;1,632;3,6;0,54;113,64
Légumes;Chou0fleur, cru;28,2;2,46;2,34;0,31;2,21;91,1;;120;33,84;2,952;2,808;0,372;109,32
Légumes;Chou0fleur, cuit;25,2;1,84;2,79;0,295;2,08;92,7;;120;30,24;2,208;3,348;0,354;111,24
Légumes;Coeur de palmier, appertisé, égoutté;33,1;2,73;3,4;0,61;0;89,7;;120;39,72;3,276;4,08;0,732;107,64
Légumes;Concombre, cru, pulpe;12;0,59;1,63;0,19;1,38;97;;120;14,4;0,708;1,956;0,228;116,4
Légumes;Courgette, pulpe et peau, crue;20;1,34;2,49;0,273;1,9;94,1;;120;24;1,608;2,988;0,3276;112,92
Légumes;Courgette, pulpe et peau, cuite;19,2;1,14;2,34;0,29;1,71;94,1;;120;23,04;1,368;2,808;0,348;112,92
Légumes;Cresson de fontaine, cru;21,2;1,6;2,09;0,3;0,3;93,1;;120;25,44;1,92;2,508;0,36;111,72
Légumes;Échalote, crue;76,1;1,9;15,9;0,15;3,2;79,4;;120;91,32;2,28;19,08;0,18;95,28
Légumes;Endive, crue;17,4;1,03;2,37;0,2;1,72;95;;120;20,88;1,236;2,844;0,24;114
