Famille;Nom;Energie (kcal/100g);Protéines (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Eau (g/100g);;Portion (g) ;Energie (kcal/portion);Protéines (g/portion);Glucides (g/portion);Lipides (g/portion);Eau (g/portion)
Poissons et batraciens non transformés;Saumon, cuit à la vapeur;217;22,7;0;14;0;64,5;;120;260,4;27,24;0;16,8;77,4
Poissons et batraciens non transformés;Sole, cuite à la vapeur;94,5;20,3;0;1,48;0;77;;120;113,4;24,36;0;1,776;92,4
Poissons et batraciens non transformés;Sole, cuite au four;73;16;0;1;0;83;;120;87,6;19,2;0;1,2;99,6
Poissons et batraciens non transformés;Thon, cru;136;23,7;0;4,6;0;70,4;;120;163,2;28,44;0;5,52;84,48
Poissons et batraciens non transformés;Thon, cuit au four;136;29,9;0;1,83;0;66,8;;120;163,2;35,88;0;2,196;80,16
Poissons et batraciens non transformés;Tilapia du Nil, cru, élevage;86;17;0;2;0;78,4;;120;103,2;20,4;0;2,4;94,08
Poissons et batraciens non transformés;Truite arc en ciel, élevage, cuite à la vapeur;125;20;0;4,99;0;75;;120;150;24;0;5,988;90
Poissons et batraciens non transformés;Truite arc en ciel, élevage, cuite au four;135;22,4;0;4,99;0;69,3;;120;162;26,88;0;5,988;83,16
Poissons et batraciens non transformés;Truite, cuite à la vapeur;121;19;0;4,99;0;75;;120;145,2;22,8;0;5,988;90
Poissons et batraciens non transformés;Truite, cuite au four;136;22,8;0;4,99;0;71;;120;163,2;27,36;0;5,988;85,2
Poissons et batraciens non transformés;Turbot, cuit au four;122;22,7;0;3,5;0;72,7;;120;146,4;27,24;0;4,2;87,24
Pommes de terre et apparentés;Patate douce, cuite;79,1;1,69;16,3;0,145;6,11;78;;150;118,65;2,535;24,45;0,2175;117
Pommes de terre et apparentés;Pomme de terre avec peau, cuite à la vapeur;89,5;1,87;19,1;0,22;0,7;77;;150;134,25;2,805;28,65;0,33;115,5
Pommes de terre et apparentés;Pomme de terre dauphine, cuite;328;3,35;34,8;19,4;0;41;;150;492;5,025;52,2;29,1;61,5
Pommes de terre et apparentés;Pomme de terre de conservation, cuite à l'eau, sans peau;73,2;1,97;15;0,1;0;79,6;;150;109,8;2,955;22,5;0,15;119,4
Pommes de terre et apparentés;Pomme de terre frite ou Frite, cuite, non salée;254;4,6;30;12;0;47,4;;150;381;6,9;45;18;71,1
Pommes de terre et apparentés;Pomme de terre frite ou Frite, surgelée, cuite, non salée;232;3,49;26,6;11,7;0,637;53,9;;150;348;5,235;39,9;17,55;80,85
Pommes de terre et apparentés;Pomme de terre noisette, précuite, surgelée;172;3,6;20,7;7,44;0;62,7;;150;258;5,4;31,05;11,16;94,05
Pommes de terre et apparentés;Pomme de terre primeur, cuite à l'eau, sans peau;87,7;1,84;18,8;0,1;0;79,8;;150;131,55;2,76;28,2;0,15;119,7
Pommes de terre et apparentés;Pomme de terre, chips salées;487;6,5;52,9;27;1,09;2,29;;150;730,5;9,75;79,35;40,5;3,435
Pommes de terre et apparentés;Pomme de terre, cuite à l'eau;75,2;2;15,8;0,22;0,51;78,9;;150;112,8;3;23,7;0,33;118,35
Pommes de terre et apparentés;Pomme de terre, flocons déshydratés au lait;350;10,9;65,8;3,02;3,24;8,07;;150;525;16,35;98,7;4,53;12,105
Pommes de terre et apparentés;Pomme de terre, purée à base de flocons, reconstituée avec lait demi0écrémé et eau, non salée;77,1;2,4;14,6;0,515;1,3;79,5;;150;115,65;3,6;21,9;0,7725;119,25
