Famille;Nom;Portion (g);Energie (kcal/portion);Protéines (g/portion);Glucides (g/portion);Lipides (g/portion);Eau (g/portion)
Fruits frais;Mûre noire (du mûrier), fraîche;120;59,28;1,644;11,64;0,234;103,56
Fruits frais;Myrtille, fraîche;120;72,24;0,7764;13,92;0,2916;100,08
Fruits frais;Nectarine, fraîche, pulpe et peau;120;51,12;1,68;9,228;0,12;105,36
Fruits frais;Nèfle du Japon, fraîche, pulpe;120;66,84;0,492;14,4;0,3204;102
Fruits frais;Orange, fraîche, pulpe;120;55,8;1,1484;9,984;0,312;104,52
Fruits frais;Papaye, fraîche, pulpe;120;51,96;0,6684;9,372;0,264;105,24
Fruits frais;Pastèque, fraîche, pulpe;120;40,8;0,7236;8,736;0,09996;109,32
Fruits frais;Pêche, fraîche, pulpe;120;65,04;0,84;13,56;0,3;105,6
Fruits frais;Pêche, fraîche, pulpe et peau;120;64,08;1,0836;12,24;0,3;102,12
Fruits frais;Poire, fraîche, pulpe et peau;120;63,6;0,462;12,96;0,264;102,12
Fruits frais;Pomélo (dit Pamplemousse), frais, pulpe;120;43,08;0,96;7,44;0,12;107,76
Fruits frais;Pomme, fraîche, pulpe et peau;120;63,84;0,372;13,56;0,1944;102,36
Fruits frais;Prune Reine0Claude, fraîche;120;58,44;0,96;11,52;0,336;98,28
Fruits frais;Raisin blanc, frais;120;84;0,72;19,32;0,192;98,64
Fruits frais;Raisin noir, frais;120;74,52;0,6;14,52;0,3;99,84
Fruits frais;Salade de fruits frais;120;100,2;0,876;21,96;0,396;93,6
Gâteaux et pâtisseries;Baba au rhum;100;234;3,2;29,9;8,76;53,9
Gâteaux et pâtisseries;Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop);100;461;10,4;49,5;24,5;13,5
Gâteaux et pâtisseries;Biscuit de Savoie;100;311;5,9;68,3;0,8;19,2
Gâteaux et pâtisseries;Brownie au chocolat;100;471;4,69;54,4;25,5;11,5
Gâteaux et pâtisseries;Bûche de Noël pâtissière;100;320;4,2;30,7;19,7;43,4
Gâteaux et pâtisseries;Cake aux fruits;100;392;5;55,7;15,3;19,5
Gâteaux et pâtisseries;Canelé;100;302;4,4;62,7;3,24;26,3
